ct_shortname,bd_feb15avgdif_date,bd_feb15avgdif_holi,bd_feb29avgdif_date,bd_feb29avgdif_holi
泰州,5.11256956521739,5.179978260869568,1.7885378378378376,1.8304405405405428
无锡,4.947730434782611,5.566908695652174,1.779937837837839,2.164832432432432
徐州,5.7755608695652185,5.686147826086955,2.3474405405405414,2.291859459459459
盐城,4.455882608695653,4.32744347826087,1.2329756756756756,1.1531351351351353
扬州,5.019252173913046,5.170704347826087,1.8311837837837843,1.9253297297297292
镇江,4.656408695652175,5.000539130434783,1.5562891891891897,1.770208108108109
南昌,4.6010739130434795,4.805904347826087,2.0864675675675683,2.213794594594595
抚州,5.8930739130434775,5.131252173913041,2.137456756756757,1.6638918918918906
赣州,5.86501304347826,5.446713043478258,2.1623567567567563,1.9023324324324302
吉安,5.2448695652173924,4.729013043478262,1.9554729729729745,1.634805405405407
景德镇,5.595791304347826,5.346634782608693,2.1325297297297294,1.9776486486486466
九江,6.023734782608698,5.474691304347829,2.532781081081082,2.191483783783785
萍乡,5.699091304347828,5.517395652173912,2.2584459459459465,2.1454999999999993
上饶,6.324191304347828,5.5242652173913065,2.4754297297297305,1.9781783783783795
新余,6.642369565217391,6.4537260869565225,3.394224324324324,3.2769594594594595
宜春,6.562960869565215,6.0109956521739125,2.802894594594594,2.4597810810810805
鹰潭,5.769995652173913,5.367273913043476,2.042016216216216,1.791675675675675
长春,4.754421739130434,4.987482608695654,1.7480567567567569,1.892932432432434
白城,4.54559565217391,4.427160869565217,1.5990675675675665,1.5254459459459455
白山,4.0455739130434765,4.022256521739131,1.3969567567567553,1.3824621621621622
吉林,4.26795652173913,4.287808695652174,1.3410459459459454,1.3533864864864875
辽源,4.537017391304349,4.5322086956521765,1.5967891891891894,1.593800000000002
四平,4.603947826086957,4.490360869565215,1.7536459459459461,1.683037837837837
松原,4.539391304347827,4.381017391304349,1.3101135135135138,1.211664864864865
通化,4.336921739130435,4.2719000000000005,1.6594324324324332,1.6190135135135137
延边,4.4308826086956525,4.530695652173913,1.633808108108108,1.6958540540540539
沈阳,4.823295652173913,5.109795652173913,1.7924027027027019,1.9704972972972965
鞍山,4.462352173913047,4.533021739130435,1.4139891891891905,1.4579189189189181
本溪,4.605247826086955,4.591734782608693,1.534856756756755,1.5264567567567542
朝阳,4.485626086956522,4.358539130434783,1.115348648648649,1.0363486486486484
大连,4.443921739130435,4.7405478260869565,1.505851351351351,1.69024054054054
丹东,4.351534782608695,4.3681521739130424,1.261335135135135,1.2716648648648645
抚顺,3.9239608695652195,3.9517695652173903,1.1058243243243262,1.1231108108108105
阜新,4.496178260869566,4.410165217391304,1.501432432432432,1.4479648648648635
葫芦岛,4.601343478260868,4.508343478260872,1.5473918918918912,1.4895810810810826
锦州,4.4482608695652175,4.380147826086956,1.415427027027028,1.3730864864864873
辽阳,4.220334782608697,4.28535652173913,1.1560702702702708,1.1964891891891893
盘锦,4.872578260869565,4.92953043478261,1.599481081081081,1.6348837837837844
铁岭,4.149630434782608,4.025595652173916,1.2079891891891887,1.1308864864864883
营口,4.548473913043479,4.649556521739127,1.1964972972972974,1.2593324324324304
银川,4.915530434782607,5.266526086956523,2.129578378378377,2.347764864864864
固原,5.1061391304347845,4.904539130434785,1.9597972972972983,1.8344783783783805
