ct_shortname,prov,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
阜阳,安徽省,-0.133,0.5956000000000001,0.9480000000000004,1.9278999999999993,2.7701000000000002,3.1415,2.7525999999999997,3.5953999999999997,3.7752,4.1869,4.0044,2.7219,4.1645,5.753,5.6664,5.1785,4.5253,4.6743,4.8332999999999995,4.4121,3.8286,3.7956999999999996,3.8867,3.5403,2.9879,2.7128,2.8926,2.9770000000000003,2.3013,1.9775999999999998,1.6157000000000004,1.3131000000000004,1.5063999999999997,1.3721,1.6265,1.7604999999999995,1.4674
淮北,安徽省,0.11690000000000023,0.9484000000000004,0.4889000000000001,1.6508999999999996,2.4614,2.6397000000000004,2.4552000000000005,2.6727,2.7731,3.4585000000000004,3.3503000000000003,2.5157000000000003,3.2673000000000005,3.874,3.3908000000000005,3.3632,2.9650999999999996,2.8842,3.4624999999999995,3.3499999999999996,3.1645000000000003,2.8763,3.1705,2.9350000000000005,2.524,2.6081,2.4940999999999995,2.8558,2.0672,1.9889999999999999,1.5964999999999998,1.0653000000000006,1.0690999999999997,0.8279000000000001,1.0556999999999994,1.3369000000000004,1.7049999999999996
黄山,安徽省,0.34250000000000025,1.4322000000000008,0.6033999999999997,1.9162,2.9623000000000004,3.1480999999999995,3.2575000000000003,3.2409999999999997,2.9938,3.3991000000000002,2.4588,1.7079,2.6927,4.2933,3.7662,3.6390999999999996,3.2271000000000005,2.9185,3.4132,3.2752,3.1274,2.9381000000000004,2.885,2.3879,1.6857999999999995,2.023,1.6952999999999996,1.048,0.5552000000000001,0.8520000000000003,0.42740000000000045,-0.4814999999999996,-0.01470000000000038,0.35660000000000025,-0.1943999999999999,0.37600000000000033,0.8543000000000003
六安,安徽省,-0.8273999999999999,0.07639999999999958,0.015099999999999447,0.7671999999999999,1.5984999999999996,2.0632000000000006,2.1797,2.5325,2.8409,3.4518,2.9056,2.7079,3.576,4.7736,4.6559,4.1434999999999995,3.6919,3.7598,4.1467,3.8377,3.5769,3.3715999999999995,3.4309999999999996,3.0747,2.3605000000000005,2.4457,2.206,2.0236000000000005,1.6717,1.4428999999999998,1.2357999999999998,0.4190000000000005,0.6940999999999997,0.5036999999999994,0.5653999999999995,1.0054999999999996,0.7618
马鞍山,安徽省,0.20319999999999983,0.6589999999999998,0.952,1.3897,2.2104,2.3529999999999998,2.3335000000000004,2.4105000000000003,2.1659999999999995,2.5686999999999998,1.8323999999999998,1.6305999999999998,1.9243999999999999,2.5028999999999995,2.2291000000000003,2.1737999999999995,2.0399,1.7651,2.4422,2.3778,2.3534,2.3794,2.6927000000000003,2.3692,1.5511000000000004,1.9884999999999997,1.8959000000000001,1.8891,1.7034000000000002,1.6142000000000003,1.0109999999999997,-0.1368999999999998,0.6086,0.48829999999999973,0.45779999999999976,0.9782000000000002,1.2664000000000004
宿州,安徽省,-0.36939999999999973,0.3982000000000001,-0.4959000000000007,0.7107000000000001,2.0615999999999994,2.8615,2.8703,3.4330000000000003,3.8479,4.3498,4.4219,3.1058999999999997,4.3983,5.5337,4.7887,4.571400000000001,3.9042000000000003,3.7668000000000004,4.2745999999999995,3.8908000000000005,3.5566,3.1812000000000005,3.5042999999999997,3.1946,2.7861999999999996,2.5056999999999996,2.4501999999999997,2.5742,1.5463,1.3323999999999998,1.1692999999999998,0.8405999999999998,0.6107999999999998,0.3028999999999993,0.5488000000000004,0.9145000000000003,0.9207000000000001
铜陵,安徽省,-0.4108999999999998,0.5145,0.39529999999999976,0.9563000000000001,1.9687999999999999,2.042,2.3468999999999998,2.414,2.2548999999999997,2.8062,1.7033,1.6188999999999996,2.1903,3.2495999999999996,2.5778,2.6010999999999997,2.5065999999999997,1.9745,2.5414,2.4203,2.3455,2.2958,2.5643,2.0164999999999997,0.9530999999999996,1.7095000000000002,1.6703000000000006,1.5073999999999996,1.3411000000000004,1.7898000000000005,1.2001,-0.3998999999999997,0.3035999999999994,0.4616000000000007,0.16549999999999976,0.5720000000000001,0.8784999999999998
芜湖,安徽省,0.6307,0.7604999999999995,0.8378000000000005,1.2119,2.2201999999999997,2.3273,2.4028,2.3809,2.0715999999999997,2.2593,1.4708,1.4386999999999999,2.0639000000000003,2.8699999999999997,2.3982,2.4588,2.3280000000000003,2.0134000000000003,2.617,2.5688,2.5510999999999995,2.5512,2.6842,2.4539000000000004,1.4933999999999998,1.8885999999999998,1.7651999999999997,1.7464,1.6401000000000003,1.9499,1.7237999999999998,0.39349999999999996,0.9768999999999997,0.9634,0.7923,1.2499000000000002,1.5523000000000002
宣城,安徽省,-0.20209999999999972,0.12520000000000042,0.04549999999999965,1.0133,1.9468,2.0749,2.199,2.1096999999999997,1.8991000000000002,2.2379,1.4867000000000004,1.5459,2.3707,3.7276,3.3680999999999996,3.2064999999999997,2.9683999999999995,2.4932,3.003,2.687,2.4894000000000003,2.2493999999999996,2.3775000000000004,1.9677000000000002,1.246,1.4432000000000005,1.1246,0.9376999999999995,0.6100000000000003,0.8530999999999995,0.6059999999999999,-0.38620000000000054,0.11800000000000033,0.3780999999999999,-0.01950000000000074,0.4287000000000001,0.6658
淮南,安徽省,-0.7298,-0.41439999999999966,-0.11690000000000023,0.36709999999999976,1.4907999999999997,1.6615000000000002,1.6367000000000003,2.0636000000000005,2.2562,2.6451,2.3185000000000002,2.2238999999999995,3.2359000000000004,4.1485,3.6963999999999997,3.336,2.9048999999999996,2.8483,3.1472,2.6448,2.3627000000000002,2.2799000000000005,2.7665,2.4369,1.7749999999999995,2.003,2.1795000000000004,1.9268,1.7002000000000002,1.8445,1.4737999999999998,0.5308999999999999,0.9409000000000001,0.8121000000000005,0.9736000000000002,1.4849,1.5505999999999998
