ct_shortname,prov,Date,value
昭通,云南省,0,-0.4112999999999998
文山,,0,0.3662000000000001
西双版纳傣族自治州,云南省,0,0.1261000000000001
玉溪,云南省,0,0.4856000000000007
杭州,浙江省,0,3.0223
湖州,浙江省,0,1.5336000000000003
嘉兴,浙江省,0,2.2173
金华,浙江省,0,0.5208999999999997
丽水,浙江省,0,0.5695000000000001
宁波,浙江省,0,2.6407000000000003
衢州,浙江省,0,-0.16049999999999986
绍兴,浙江省,0,1.5875
台州,浙江省,0,1.1582000000000003
温州,浙江省,0,1.0439999999999996
舟山,浙江省,0,1.4363000000000001
北京,,1,3.1514999999999995
天津,,1,2.271
上海,,1,3.4549000000000003
重庆,,1,1.1028999999999995
合肥,安徽省,1,2.0595
安庆,安徽省,1,0.49370000000000047
蚌埠,安徽省,1,0.8079000000000001
亳州,安徽省,1,0.4139999999999997
池州,安徽省,1,0.7675999999999998
滁州,安徽省,1,0.17189999999999994
阜阳,安徽省,1,0.5956000000000001
淮北,安徽省,1,0.9484000000000004
黄山,安徽省,1,1.4322000000000008
六安,安徽省,1,0.07639999999999958
马鞍山,安徽省,1,0.6589999999999998
宿州,安徽省,1,0.3982000000000001
铜陵,安徽省,1,0.5145
芜湖,安徽省,1,0.7604999999999995
宣城,安徽省,1,0.12520000000000042
淮南,安徽省,1,-0.41439999999999966
福州,福建省,1,2.0073
龙岩,福建省,1,1.0618000000000003
南平,福建省,1,1.0646
宁德,福建省,1,1.1145
莆田,福建省,1,0.005799999999999805
泉州,福建省,1,1.5832000000000002
三明,福建省,1,1.0822000000000003
厦门,福建省,1,2.9909000000000003
漳州,福建省,1,0.5200999999999998
广州,广东省,1,2.6266
潮州,广东省,1,0.46489999999999965
东莞,广东省,1,2.3311
佛山,广东省,1,2.5099
河源,广东省,1,0.7335999999999996
惠州,广东省,1,1.9604999999999997
江门,广东省,1,1.6113
揭阳,广东省,1,0.10340000000000016
茂名,广东省,1,0.16410000000000036
梅州,广东省,1,0.5128999999999997
清远,广东省,1,1.5348000000000002
汕头,广东省,1,1.0177
汕尾,广东省,1,0.1814
韶关,广东省,1,0.9288999999999996
深圳,广东省,1,3.0021999999999998
阳江,广东省,1,1.1631999999999998
云浮,广东省,1,0.9165999999999999
湛江,广东省,1,0.47659999999999947
肇庆,广东省,1,1.7534999999999994
中山,广东省,1,2.5622
珠海,广东省,1,2.4511000000000003
南宁,广西壮族自治区,1,3.0648
百色,广西壮族自治区,1,2.4019
北海,广西壮族自治区,1,2.0952
崇左,广西壮族自治区,1,1.6960000000000002
防城港,广西壮族自治区,1,1.9630999999999998
桂林,广西壮族自治区,1,2.0315999999999996
贵港,广西壮族自治区,1,1.4185000000000003
河池,广西壮族自治区,1,1.4267999999999996
贺州,广西壮族自治区,1,2.4059000000000004
来宾,广西壮族自治区,1,1.7610999999999994
柳州,广西壮族自治区,1,2.8528
钦州,广西壮族自治区,1,1.7688000000000001
梧州,广西壮族自治区,1,1.6202000000000005
玉林,广西壮族自治区,1,1.7668
贵阳,贵州省,1,2.1157
安顺,贵州省,1,1.2106000000000003
毕节,贵州省,1,-0.20029999999999948
六盘水,贵州省,1,0.7626999999999997
铜仁,贵州省,1,0.4908000000000001
遵义,贵州省,1,-0.1828000000000003
兰州,甘肃省,1,1.8127
白银,甘肃省,1,0.7864
定西,甘肃省,1,0.6947999999999999
甘南州,,1,1.2527
嘉峪关,甘肃省,1,1.1086000000000005
金昌,甘肃省,1,0.7564000000000002
酒泉,甘肃省,1,0.37200000000000033
临夏州,,1,0.4407999999999994
陇南,甘肃省,1,0.7786999999999997
平凉,甘肃省,1,0.9516999999999998
庆阳,甘肃省,1,0.9300999999999999
天水,甘肃省,1,0.8633999999999995
武威,甘肃省,1,-0.2713000000000001
张掖,甘肃省,1,-0.30569999999999986
海口,海南省,1,2.7232000000000003
白沙黎族自治县,,1,1.4928
保亭黎族苗族自治县,,1,0.2737999999999996
昌江黎族自治县,,1,1.8185999999999996
儋州,海南省,1,1.5679999999999996
澄迈,,1,-0.5566999999999993
东方,,1,1.1307999999999998
定安,,1,-0.4610000000000003
琼海,,1,0.4791999999999996
琼中黎族苗族自治县,,1,1.3985000000000003
乐东黎族自治县,,1,0.032099999999999795
临高,,1,-0.6029
陵水黎族自治县,,1,-0.1368999999999998
三亚,海南省,1,0.40200000000000014
屯昌,,1,0.2016
万宁,,1,-0.17790000000000017
文昌,,1,-0.4258000000000006
五指山,,1,1.1692
郑州,河南省,1,3.0378000000000003
安阳,河南省,1,1.2119
鹤壁,河南省,1,1.8999000000000001
焦作,河南省,1,1.6363999999999996
开封,河南省,1,0.6377999999999995
洛阳,河南省,1,1.7925999999999997
漯河,河南省,1,1.9318
南阳,河南省,1,1.3754
平顶山,河南省,1,1.7460999999999998
濮阳,河南省,1,0.8464
