,cityName,confirmedCount,suspectedCount,curedCount,deadCount,date,prov,locationId,currentConfirmedCount
291,吉安,1,0,0,0,2020-01-25,江西省,,
292,景德镇,1,0,0,0,2020-01-25,江西省,,
293,宜春,1,0,0,0,2020-01-25,江西省,,
294,北海,6,0,0,0,2020-01-25,广西壮族自治区,,
295,桂林,6,0,0,0,2020-01-25,广西壮族自治区,,
296,柳州,3,0,0,0,2020-01-25,广西壮族自治区,,
297,河池,3,0,0,0,2020-01-25,广西壮族自治区,,
298,防城港,2,0,0,0,2020-01-25,广西壮族自治区,,
299,梧州,1,0,0,0,2020-01-25,广西壮族自治区,,
300,百色,1,0,0,0,2020-01-25,广西壮族自治区,,
301,玉林,1,0,0,0,2020-01-25,广西壮族自治区,,
302,昆明,4,0,0,0,2020-01-26,云南省,,
303,丽江,2,0,0,0,2020-01-26,云南省,,
304,保山,2,0,0,0,2020-01-26,云南省,,
305,德宏,2,0,0,0,2020-01-26,云南省,,
306,西双版纳,1,0,0,0,2020-01-26,云南省,,
307,曲靖,1,0,0,0,2020-01-26,云南省,,
308,玉溪,1,0,0,0,2020-01-26,云南省,,
309,红河州,1,0,0,0,2020-01-26,云南省,,
310,大理,1,0,0,0,2020-01-26,云南省,,
311,昭通,1,0,0,0,2020-01-26,云南省,,
312,福州,13,0,0,0,2020-01-26,福建省,,
313,泉州,5,0,0,0,2020-01-26,福建省,,
314,厦门,4,0,0,0,2020-01-26,福建省,,
315,漳州,4,0,0,0,2020-01-26,福建省,,
316,三明,4,0,0,0,2020-01-26,福建省,,
317,宁德,3,0,0,0,2020-01-26,福建省,,
318,莆田,1,0,0,0,2020-01-26,福建省,,
319,南平,1,0,0,0,2020-01-26,福建省,,
320,深圳,31,0,2,0,2020-01-26,广东省,,
321,广州,17,0,0,0,2020-01-26,广东省,,
322,珠海,12,0,0,0,2020-01-26,广东省,,
323,佛山,10,0,0,0,2020-01-26,广东省,,
324,惠州,8,0,0,0,2020-01-26,广东省,,
325,阳江,8,0,0,0,2020-01-26,广东省,,
326,湛江,4,0,0,0,2020-01-26,广东省,,
327,肇庆,4,0,0,0,2020-01-26,广东省,,
328,韶关,4,0,0,0,2020-01-26,广东省,,
329,清远,3,0,0,0,2020-01-26,广东省,,
330,揭阳,3,0,0,0,2020-01-26,广东省,,
331,中山,2,0,0,0,2020-01-26,广东省,,
332,东莞,2,0,0,0,2020-01-26,广东省,,
333,汕头,2,0,0,0,2020-01-26,广东省,,
334,梅州,1,0,0,0,2020-01-26,广东省,,
335,桂林,11,0,0,0,2020-01-26,广西壮族自治区,,
336,北海,9,0,0,0,2020-01-26,广西壮族自治区,,
337,柳州,5,0,0,0,2020-01-26,广西壮族自治区,,
338,河池,3,0,0,0,2020-01-26,广西壮族自治区,,
339,梧州,2,0,0,0,2020-01-26,广西壮族自治区,,
340,百色,2,0,0,0,2020-01-26,广西壮族自治区,,
341,防城港,2,0,0,0,2020-01-26,广西壮族自治区,,
342,南宁,1,0,0,0,2020-01-26,广西壮族自治区,,
343,玉林,1,0,0,0,2020-01-26,广西壮族自治区,,
344,沈阳,6,0,0,0,2020-01-26,辽宁省,,
345,大连,4,0,0,0,2020-01-26,辽宁省,,
346,朝阳,2,0,0,0,2020-01-26,辽宁省,,
347,铁岭,2,0,0,0,2020-01-26,辽宁省,,
348,葫芦岛,2,0,0,0,2020-01-26,辽宁省,,
349,本溪,2,0,0,0,2020-01-26,辽宁省,,
350,营口,1,0,0,0,2020-01-26,辽宁省,,
351,丹东,1,0,0,0,2020-01-26,辽宁省,,
352,盘锦,1,0,0,0,2020-01-26,辽宁省,,
353,苏州,7,0,1,0,2020-01-26,江苏省,,
354,南京,7,0,0,0,2020-01-26,江苏省,,
355,常州,5,0,0,0,2020-01-26,江苏省,,
356,连云港,3,0,0,0,2020-01-26,江苏省,,
357,无锡,2,0,0,0,2020-01-26,江苏省,,
358,南通,2,0,0,0,2020-01-26,江苏省,,
359,镇江,2,0,0,0,2020-01-26,江苏省,,
360,扬州,1,0,0,0,2020-01-26,江苏省,,
361,盐城,1,0,0,0,2020-01-26,江苏省,,
362,宿迁,1,0,0,0,2020-01-26,江苏省,,
363,淮安,1,0,0,0,2020-01-26,江苏省,,
364,泰州,1,0,0,0,2020-01-26,江苏省,,
365,青岛,8,0,0,0,2020-01-26,山东省,,
366,临沂,7,0,0,0,2020-01-26,山东省,,
367,济宁,5,0,0,0,2020-01-26,山东省,,
368,济南,5,0,0,0,2020-01-26,山东省,,
369,威海,4,0,0,0,2020-01-26,山东省,,
370,日照,4,0,0,0,2020-01-26,山东省,,
371,德州,3,0,0,0,2020-01-26,山东省,,
372,滨州,3,0,0,0,2020-01-26,山东省,,
373,潍坊,2,0,0,0,2020-01-26,山东省,,
374,烟台,2,0,0,0,2020-01-26,山东省,,
375,聊城,1,0,0,0,2020-01-26,山东省,,
376,菏泽,1,0,0,0,2020-01-26,山东省,,
377,淄博,1,0,0,0,2020-01-26,山东省,,
378,武汉,618,0,40,45,2020-01-26,湖北省,,
379,黄冈,122,0,2,2,2020-01-26,湖北省,,
380,孝感,55,0,0,0,2020-01-26,湖北省,,
381,咸宁,43,0,0,0,2020-01-26,湖北省,,
382,荆门,38,0,0,1,2020-01-26,湖北省,,
383,随州,36,0,0,0,2020-01-26,湖北省,,
384,荆州,33,0,0,2,2020-01-26,湖北省,,
385,黄石,31,0,0,1,2020-01-26,湖北省,,
386,宜昌,20,0,0,1,2020-01-26,湖北省,,
387,十堰,20,0,0,0,2020-01-26,湖北省,,
388,恩施州,17,0,0,0,2020-01-26,湖北省,,
389,仙桃,11,0,0,0,2020-01-26,湖北省,,
390,襄阳,8,0,0,0,2020-01-26,湖北省,,
391,天门,5,0,0,0,2020-01-26,湖北省,,
392,鄂州,1,0,0,0,2020-01-26,湖北省,,
393,西安,8,0,0,0,2020-01-26,陕西省,,
394,铜川,5,0,0,0,2020-01-26,陕西省,,
395,咸阳,3,0,0,0,2020-01-26,陕西省,,
396,安康,3,0,0,0,2020-01-26,陕西省,,
397,延安,1,0,0,0,2020-01-26,陕西省,,
398,商洛,1,0,0,0,2020-01-26,陕西省,,
399,汉中,1,0,0,0,2020-01-26,陕西省,,
400,成都,22,0,0,0,2020-01-26,四川省,,
401,绵阳,5,0,0,0,2020-01-26,四川省,,
402,广安,2,0,0,0,2020-01-26,四川省,,
403,遂宁,2,0,0,0,2020-01-26,四川省,,
