,locked_on_date,bdidx_avgdiff_holiday,bdidx_avgdiff_date,popHR18_all,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,sub_prov_ct,age_feb20,tenure,prov_leader_rank,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
84,1,1.6348054054054069,1.9554729729729745,536.0,22.0,2531933.0,0.041044776119402986,44.99,48.27,0,56,3,32.02,0,1,0,0,57.0,8028.0,1222.0,7.201309328968903,2.009999999999998,48.85,49.14,1.0,0,1,0,0,0,36.0,30.0
85,0,2.456524324324324,2.498008108108108,737.0,31.0,16555755.0,0.04206241519674356,37.74,61.18,0,56,3,55.64,0,0,1,0,142.0,17586.0,1975.0,2.3797468354430378,0.13000000000000256,48.72,51.15,1.0,0,0,1,0,1,36.0,39.0
86,0,0.5038864864864854,0.7475108108108106,239.0,1.0,1065841.0,0.0041841004184100415,34.02,50.89,0,55,3,30.69,0,1,0,0,53.0,3315.0,173.0,1.1560693641618496,6.700000000000002,28.84,64.46,0.0,0,1,0,0,1,34.0,33.0
87,0,1.2769270270270272,1.0667054054054066,54.0,1.0,2878800.0,0.018518518518518517,33.09,65.28,0,53,3,35.26,0,0,0,0,28.0,2552.0,76.0,3.947368421052632,32.49999999999999,16.62,50.88,0.0,0,1,0,0,1,28.0,32.0
89,0,1.2390432432432452,1.34672162162162,154.0,7.0,2398237.0,0.045454545454545456,37.58,47.5,0,58,2,66.1,0,1,0,0,44.0,3941.0,314.0,2.5477707006369434,0.6499999999999915,29.84,69.51,0.0,0,1,0,0,1,35.0,39.0
90,0,2.4526324324324325,2.6939621621621637,381.0,160.0,8445969.0,0.4199475065616798,49.47,47.49,0,58,2,36.14,0,1,0,0,81.0,6297.0,1115.0,3.5874439461883414,0.14999999999999858,42.51,57.34,1.0,1,0,0,0,1,34.0,37.0
91,0,1.6621918918918919,1.7101216216216226,229.0,38.0,10425427.0,0.16593886462882096,53.91,44.88,0,55,2,36.14,0,1,0,0,62.0,4756.0,1054.0,5.597722960151803,0.3200000000000003,52.49,47.19,0.0,1,0,0,0,1,28.0,34.0
92,0,2.4164351351351363,2.57561891891892,559.0,26.0,6887402.0,0.046511627906976744,34.99,55.18,0,53,2,55.64,0,0,1,0,105.0,11280.0,1347.0,2.3756495916852263,0.12999999999999545,54.17,45.7,0.0,0,1,0,1,1,32.0,29.0
93,0,2.438097297297297,2.5839135135135125,567.0,58.0,5649429.0,0.10229276895943562,51.9,47.07,0,57,2,55.64,0,0,1,0,87.0,11355.0,885.0,2.485875706214689,0.0799999999999983,54.64,45.28,0.0,0,1,0,0,1,29.0,36.0
94,0,1.7090945945945943,1.779010810810811,96.0,15.0,3229700.0,0.15625,13.1,48.6,0,53,2,32.74,0,0,1,0,22.0,1680.0,18.0,16.666666666666664,43.762576,11.730382,44.507042,0.0,0,0,1,0,0,33.0,29.0
