locked_on_date,bd_feb15avgdif_holi,bd_feb15avgdif_date,bd_feb29avgdif_holi,bd_feb29avgdif_date,popHR18_all,prov,ctnm,case_on_date,gdp2018,case_per_10k,second_ind,third_ind,age_feb20,tenure,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,pct_of_non_domestic_firm,secondary_emp_share_total,tertiary_emp_share_total,is_STEM_major,is_BA,is_MA,is_PhD,is_female,rule_in_native_prov,party_age,work_age
0,4.315926086956521,4.792647826086958,1.305994594594595,1.602335135135136,479.0,湖南省,益阳市,59.0,6868076.0,0.12317327766179541,47.4,44.13,54,3,35.3,82.0,10996.0,1079.0,2.9657089898053752,40.82,58.89,0.0,0,1,0,0,1,34.0,35.0
1,4.961182608695653,4.72751739130435,1.7747810810810818,1.629529729729732,44.0,内蒙古自治区,乌海市,2.0,4100777.0,0.045454545454545456,57.7,41.07,56,3,35.79,27.0,1536.0,144.0,1.3888888888888888,49.71,50.11,0.0,0,1,0,0,1,35.0,36.0
1,5.427695652173912,5.051630434782608,2.0450540540540545,1.8112837837837843,161.0,内蒙古自治区,鄂尔多斯市,11.0,7467000.0,0.06832298136645963,33.57,66.22,58,3,35.79,90.0,5652.0,399.0,4.511278195488722,45.53,53.67,0.0,0,1,0,0,0,28.0,40.0
0,4.5786869565217385,4.628639130434783,2.055137837837837,2.0861891891891893,101.0,黑龙江省,鹤岗市,5.0,1415313.0,0.04950495049504951,50.89,43.03,50,3,31.47,49.0,3067.0,123.0,4.065040650406504,34.4,35.85,0.0,0,1,0,0,1,21.0,29.0
0,3.373460869565217,3.999534782608693,0.3275162162162157,0.7166972972972959,303.0,四川省,广元市,6.0,3440379.0,0.019801980198019802,51.34,39.84,56,4,66.1,73.0,5886.0,465.0,1.2903225806451613,28.73,71.01,0.0,0,0,1,0,1,34.0,33.0
0,4.3049521739130405,4.36671304347826,1.244237837837836,1.2826297297297296,352.0,四川省,乐山市,3.0,7191902.0,0.008522727272727272,51.52,42.25,56,4,66.1,97.0,7537.0,625.0,2.08,41.54,57.55,1.0,0,0,1,0,0,33.0,35.0
0,3.732008695652176,4.489869565217389,1.1394189189189192,1.6105216216216207,672.0,四川省,达州市,36.0,4890622.0,0.05357142857142857,32.6,52.14,56,4,66.1,398.0,6937.0,560.0,0.8928571428571428,45.47,53.69,1.0,0,0,1,1,0,36.0,35.0
0,4.810843478260869,4.98515652173913,2.372127027027028,2.480483783783784,534.0,黑龙江省,齐齐哈尔市,36.0,6366549.0,0.06741573033707865,28.65,67.36,56,4,31.47,116.0,10377.0,367.0,5.177111716621254,24.05,63.59,1.0,0,0,1,0,1,26.0,35.0
1,4.472213043478262,3.6539434782608713,1.868940540540541,1.3602864864864874,420.0,广东省,佛山市,84.0,93985162.0,0.2,57.72,40.86,55,4,182.12,110.0,18134.0,6212.0,18.399871216999355,70.75,29.23,0.0,0,0,1,0,0,33.0,37.0
0,3.816260869565217,4.036743478260869,0.9085540540540542,1.0456108108108113,263.0,云南省,保山市,9.0,2604239.0,0.034220532319391636,35.96,44.55,57,3,30.69,50.0,4360.0,258.0,1.937984496124031,46.51,52.16,0.0,0,1,0,0,1,34.0,37.0
1,5.517395652173913,5.699091304347827,2.1455,2.2584459459459465,200.0,江西省,萍乡市,32.0,6083233.0,0.16,49.6,47.33,51,3,32.02,32.0,4433.0,578.0,3.97923875432526,52.05,47.65,0.0,0,0,1,0,0,25.0,31.0
0,5.2512739130434785,5.991739130434783,1.7188216216216214,2.1791108108108106,531.0,安徽省,安庆市,82.0,5138061.0,0.1544256120527307,43.69,53.59,55,3,36.14,69.0,8638.0,1716.0,2.797202797202797,40.22,55.87,1.0,1,0,0,0,0,21.0,32.0
0,5.614199999999998,6.614234782608694,1.8300729729729728,2.4517162162162167,651.0,安徽省,亳州市,107.0,4212362.0,0.16436251920122888,42.41,41.89,54,3,36.14,62.0,6397.0,1032.0,0.6782945736434108,31.33,68.6,1.0,0,1,0,0,1,31.0,35.0
