name,nativeplace,partytime,education,firstjobtime,edu,nativeprov,STEM_major?
王玉君,山东省龙口市,1983-06-01 00:00:00.000000000,硕士研究生,1985-07-01 00:00:00.000000000,19,山东,True
叶牛平,安徽太湖,1984-06-01 00:00:00.000000000,学历研究生，历史学硕士，经济师,1984-07-01 00:00:00.000000000,19,安徽,False
聂瑞平,河北省沧州市献县,1983-07-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,河北,False
韩福春,吉林省松原市长岭县,1995-05-01 00:00:00.000000000,硕士研究生,1985-08-01 00:00:00.000000000,19,吉林,False
宋国权,安徽省阜阳市太和县,1985-12-01 00:00:00.000000000,硕士研究生,1982-08-01 00:00:00.000000000,19,安徽,False
杨廷双,黑龙江省哈尔滨市宾县,1985-06-01 00:00:00.000000000,博士研究生,1987-08-01 00:00:00.000000000,22,黑龙江,True
马志勇,吉林省辽源市东丰县,1988-06-01 00:00:00.000000000,硕士研究生,1989-01-01 00:00:00.000000000,19,吉林,False
罗应光,云南省普洱市镇沅彝族哈尼族拉祜族自治县,1985-05-01 00:00:00.000000000,博士研究生,1988-08-01 00:00:00.000000000,22,云南,False
颜赣辉,江西省抚州市崇仁县,1985-05-01 00:00:00.000000000,本科,1982-08-01 00:00:00.000000000,16,江西,False
王建军,陕西省商洛市丹凤县,1984-11-01 00:00:00.000000000,硕士研究生,1983-07-01 00:00:00.000000000,19,陕西,False
杜学军,内蒙古自治区呼伦贝尔市海拉尔区,1988-06-01 00:00:00.000000000,博士研究生,1980-08-01 00:00:00.000000000,22,内蒙古,False
张爱国,湖北省随州市,1986-07-01 00:00:00.000000000,硕士研究生,1982-09-01 00:00:00.000000000,19,湖北,False
