provincecode,provincename,citycode,ctnm,inaug_time,off_month,birthmonth,name,note,race,time_of_data_entry,rule_in_covid,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,cityCode,cityFullName,cityName,prov,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct
530000,云南省,530100,昆明市,2015-7,,1961-12,程连元,,汉族,2020-07-21 17:00:00,True,58,True,-12.0,2020-02-05 00:00:00,4,530100.0,昆明市,昆明,云南省,3.0,4.0,4.0,7.0,12.0,15.0,21.0,25.0,30.0,31.0,32.0,34.0,35.0,40.0,41.0,41.0,42.0,45.0,46.0,46.0,48.0,48.0,48.0,51.0,51.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,0
360000,江西省,360200,景德镇市,2015-8,,1963-6,钟志生,,汉族,2020-07-21 17:00:00,True,56,True,-10.0,2020-02-04 00:00:00,4,360200.0,景德镇市,景德镇,江西省,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0
450000,广西壮族自治区,451400,崇左市,2016-1,,1963-8,刘有明,,汉族,2020-07-21 17:00:00,True,56,False,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
620000,甘肃省,620100,兰州市,2016-10,,1966-9,李荣灿,,汉族,2020-07-21 17:00:00,True,53,False,,,3,620100.0,兰州市,兰州,甘肃省,1.0,2.0,4.0,8.0,11.0,14.0,14.0,15.0,23.0,23.0,26.0,30.0,30.0,30.0,32.0,33.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0
620000,甘肃省,621000,庆阳市,2016-10,,1963-4,贠建民,,汉族,2020-07-21 17:00:00,True,56,False,,,3,621000.0,庆阳市,庆阳,甘肃省,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
450000,广西壮族自治区,450500,北海市,2016-11,,1962-12,王乃学,,汉族,2020-07-21 17:00:00,True,57,False,,,3,450500.0,北海市,北海,广西壮族自治区,6.0,6.0,9.0,9.0,11.0,13.0,15.0,17.0,23.0,23.0,26.0,27.0,29.0,31.0,31.0,32.0,33.0,35.0,36.0,39.0,39.0,40.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,0
450000,广西壮族自治区,451100,贺州市,2016-11,,1963-10,李宏庆,,汉族,2020-07-21 17:00:00,True,56,False,,,3,451100.0,贺州市,贺州,广西壮族自治区,,,,,,,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
520000,贵州省,520500,毕节市,2016-11,,1960-6,周建琨,,汉族,2020-07-21 17:00:00,True,59,False,,,3,520500.0,毕节市,毕节,贵州省,,,,,,,1.0,3.0,3.0,4.0,4.0,9.0,11.0,13.0,17.0,21.0,21.0,21.0,21.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0
130000,河北省,130100,石家庄市,2016-11,,1961-3,邢国辉,,汉族,2020-07-21 17:00:00,True,58,True,-13.0,2020-02-06 00:00:00,3,130100.0,石家庄市,石家庄,河北省,1.0,4.0,5.0,7.0,9.0,10.0,11.0,11.0,12.0,13.0,16.0,21.0,21.0,24.0,24.0,24.0,24.0,25.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0
130000,河北省,130100,石家庄市,2016-11,,1961-3,邢国辉,,汉族,2020-07-21 17:00:00,True,58,True,-13.0,2020-02-06 00:00:00,3,130100.0,石家庄市,石家庄,河北省,1.0,4.0,5.0,7.0,9.0,10.0,11.0,11.0,12.0,13.0,16.0,21.0,21.0,24.0,24.0,24.0,24.0,25.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0
