prov,citycode,ctnm,inaug_time,birthmonth,name,age_feb20,locked_down,daySinceFirstCase,lockdown_date,tenure,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,sub_prov_ct,cityname,gdp2018,gdpPercap2018,gdpGrowth2018,自治州-盟-地区,popHR18_all,Log_popHR18_all,primary_ind,second_ind,third_ind,prov_full,yiji_date,yiji_jan23,yiji_jan24,yiji_jan25,yiji_jan26,yiji_num
云南省,532500,红河哈尼族彝族自治州,2015-10,1965-5,姚国华,54,0,,,4,0.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,,,,,True,,,,,,云南省,2020-01-24,0,1,0,0,1
河北省,130800,承德市,2015-10,1963-11,周仲明,56,0,,,4,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0,承德市,4045897.0,60575.0,7.22,False,380.0,5.940171252720432,1.0,45.97,53.03,河北省,2020-01-24,0,1,0,0,1
辽宁省,211000,辽阳市,2015-10,1963-12,王凤波,56,1,-8.0,2020-02-05,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0,辽阳市,5135963.0,,6.22,False,177.0,5.176149732573829,3.19,54.36,42.45,辽宁省,2020-01-25,0,0,1,0,2
广西壮族自治区,450800,贵港市,2015-12,1962-10,李新元,57,0,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0,贵港市,4597731.0,28910.0,9.44,False,556.0,6.320768294250582,15.31,38.61,46.08,广西壮族自治区,2020-01-24,0,1,0,0,1
广西壮族自治区,451200,河池市,2015-12,1962-9,何辛幸,57,0,,,4,1.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,8.0,9.0,11.0,11.0,15.0,19.0,21.0,21.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,23.0,24.0,25.0,25.0,27.0,28.0,28.0,28.0,28.0,28.0,0,河池市,2565998.0,27606.0,9.19,False,430.0,6.063785208687608,22.63,22.91,54.46,广西壮族自治区,2020-01-24,0,1,0,0,1
吉林省,220800,白城市,2015-12,1960-2,庞庆波,60,0,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,白城市,1676260.0,34181.0,4.0,False,191.0,5.25227342804663,12.19,13.85,73.96,吉林省,2020-01-25,0,0,1,0,2
安徽省,341000,黄山市,2015-2,1966-10,任泽锋,53,0,,,4,0.0,0.0,1.0,1.0,4.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0,黄山市,2869916.0,59970.0,8.1,False,148.0,4.997212273764115,6.09,31.07,62.85,安徽省,2020-01-24,0,1,0,0,1
河南省,410900,濮阳市,2015-2,1963-2,宋殿宇,57,0,,,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,9.0,10.0,11.0,13.0,13.0,13.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0,濮阳市,4387409.0,60258.0,5.8,False,432.0,6.068425588244111,4.08,45.47,50.45,河南省,2020-01-25,0,0,1,0,2
四川省,513400,凉山彝族自治州,2015-3,1962-11,林书成,57,0,,,4,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0,,,,,True,,,,,,四川省,2020-01-24,0,1,0,0,1
青海省,632600,果洛藏族自治州,2015-3,1963-7,武玉嶂,56,0,,,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,True,,,,,,青海省,2020-01-26,0,0,0,1,3
