ct_shortname,prov,citycode,ctnm,centlon,centlat,locked_down,lockdown_date,bdidx_19m20,xc_lockdown,xc_closed,daySinceFirstCase,sub_prov_ct,gdp2018,自治州-盟-地区,in_291,pdensity,gdp_p,hospital_d,popHR18_all,Log_popHR18_all,gdp_per_10k,primary_ind,second_ind,third_ind,prov_leader_rank,num_hospital_total,num_doctors_total,num_firm_total,non_domestic_firms_total,pct_of_non_domestic_firm,primary_emp_share_total,secondary_emp_share_total,tertiary_emp_share_total,inaug_time,birthmonth,is_female,age_feb20,party_age,work_age,tenure,majorchara,is_STEM_major,rule_in_native_prov,is_BA,is_MA,is_PhD,cumulative_case,ct_shortname,log_cumulative_case
保定,河北省,130600,保定市,115.16842685399999,39.0225989467,0,,3.088,1.0,1.0,,0,13573495.0,False,True,541.81,2.9992,2.83,1199.0,7.089243155027512,11320.679733110923,5.56,49.05,45.38,31.22,365.0,28300.0,1828.0,82.0,4.485776805251642,0.13000000000000256,38.83,61.04,2013-2,1959-11,0,60,36.0,36.0,6,1.0,0.0,1,0,1,0,32.0,保定,3.4657359027997265
保山,云南省,530500,保山市,98.9723810051,24.9792580441,0,,1.8542,0.0,1.0,,0,2604239.0,False,True,131.89,2.3692,0.436,263.0,5.572154032177764,9902.049429657794,19.5,35.96,44.55,30.69,50.0,4360.0,258.0,5.0,1.937984496124031,1.3300000000000054,46.51,52.16,2016-3,1962-5,0,57,34.0,37.0,3,1.0,0.0,1,0,1,0,9.0,保山,2.1972245773362196
信阳,河南省,411500,信阳市,114.88209963,32.0812152197,1,2020-02-06 00:00:00.000000000,4.1028,1.0,1.0,-13.0,0,5867475.0,False,True,477.99,3.1733,0.9940000000000001,911.0,6.814542897259956,6440.697036223929,12.26,44.66,43.08,55.64,270.0,9940.0,1110.0,15.0,1.3513513513513509,0.1700000000000017,43.66,56.17,2016-5,1961-10,0,58,29.0,35.0,3,1.0,0.0,1,0,1,0,274.0,信阳,5.6131281063880705
儋州,海南省,460400,儋州市,109.428828,19.563299,0,,2.6181,0.0,0.0,,0,3229700.0,False,True,267.6470588235294,3.5569,0.2719,96.0,4.564348191467836,33642.708333333336,38.3,13.1,48.6,32.74,22.0,1680.0,18.0,3.0,16.666666666666664,43.762576,11.730382,44.507042,2017-12,1966-4,0,53,33.0,29.0,2,1.0,0.0,0,0,0,1,15.0,儋州,2.70805020110221
六安,安徽省,341500,六安市,116.312362528,31.7571430365,0,,3.2369,1.0,1.0,,0,5320556.0,False,True,390.24,2.3298,0.9062,588.0,6.376726947898628,9048.56462585034,14.4,43.58,42.02,36.14,29.0,9062.0,914.0,25.0,2.7352297592997807,2.9200000000000017,19.64,77.44,2011-4,1962-8,0,57,33.0,35.0,8,1.0,0.0,1,1,0,0,69.0,六安,4.23410650459726
六盘水,贵州省,520200,六盘水市,104.88982720899999,26.1372995666,0,,2.2595000000000005,0.0,1.0,,0,4673400.0,False,True,335.89,4.5325,0.5106,342.0,5.834810737062607,13664.912280701752,1.35,46.61,52.04,35.3,111.0,5106.0,452.0,5.0,1.1061946902654871,0.2700000000000031,46.0,53.73,2017-12,1964-3,0,55,36.0,36.0,2,1.0,0.0,1,0,1,0,10.0,六盘水,2.302585092994046
兰州,甘肃省,620100,兰州市,103.633790425,36.3581817432,0,,3.1392,0.0,1.0,,0,20965283.0,False,True,246.06,6.1207,1.3692,326.0,5.786897381366707,64310.684049079755,0.57,32.59,66.84,31.0,127.0,13692.0,351.0,17.0,4.843304843304843,0.07000000000000027,42.07,57.86,2016-10,1966-9,0,53,30.0,30.0,3,1.0,0.0,0,0,1,0,36.0,兰州,3.58351893845611
内江,四川省,511000,内江市,104.932837659,29.6720218234,1,2020-02-06 00:00:00.000000000,2.5611,0.0,1.0,-12.0,0,4772911.0,False,True,779.8,3.4667,0.5507,415.0,6.028278520230697,11500.990361445783,13.9,44.3,41.8,66.1,72.0,5507.0,317.0,14.0,4.416403785488959,0.28000000000000114,50.86,48.86,2016-7,1964-10,0,55,33.0,37.0,3,1.0,0.0,0,0,1,0,22.0,内江,3.091042453358316
包头,内蒙古自治区,150200,包头市,110.21793232700001,41.645620003699996,1,2020-02-13 00:00:00.000000000,3.3788,0.0,1.0,-17.0,0,24190700.0,False,True,80.67,13.6021,0.8588,224.0,5.4116460518550396,107994.19642857145,1.13,40.7,58.17,35.79,84.0,8588.0,401.0,19.0,4.7381546134663335,0.7299999999999969,47.71,51.56,2016-11,1959-11,0,60,36.0,36.0,3,1.0,0.0,1,1,0,0,11.0,包头,2.3978952727983707
北海,广西壮族自治区,450500,北海市,109.333894691,21.6742612087,0,,2.9356000000000004,0.0,1.0,,0,9651455.0,False,True,515.43,6.1579999999999995,0.3514,175.0,5.1647859739235145,55151.17142857143,10.08,62.12,27.8,37.35,25.0,3514.0,212.0,37.0,17.452830188679243,3.3999999999999986,35.53,61.07,2016-11,1962-12,0,57,33.0,35.0,3,1.0,0.0,0,0,0,1,44.0,北海,3.784189633918261
十堰,湖北省,420300,十堰市,110.44108665700001,32.4590892553,1,2020-01-24 00:00:00.000000000,3.7787,1.0,1.0,0.0,0,10794677.0,False,True,146.03,4.2083,0.9469,346.0,5.846438775057725,31198.488439306362,2.81,60.1,37.09,56.66,58.0,9469.0,847.0,19.0,2.2432113341204247,1.1000000000000014,47.29,51.61,2016-12,1963-10,0,56,33.0,36.0,3,1.0,0.0,1,0,1,0,671.0,十堰,6.508769136971682
南京,江苏省,320100,南京市,118.842002095,31.9301990085,1,2020-02-04 00:00:00.000000000,3.928,0.0,1.0,-11.0,1,117151000.0,False,True,991.35,12.7264,2.81,681.0,6.523562306149513,172027.90014684288,2.25,38.03,59.73,39.66,220.0,28100.0,2348.0,532.0,22.657580919931856,0.060000000000002274,44.32,55.62,2017-7,1962-7,0,57,34.0,34.0,2,1.0,0.0,1,1,0,0,93.0,南京,4.532599493153256
南充,四川省,511300,南充市,106.20447814799999,31.1964425127,0,,2.6295,0.0,1.0,,0,6692215.0,False,True,594.69,2.5871,1.3077,733.0,6.597145701886651,9129.897680763985,13.05,43.99,42.96,66.1,112.0,13077.0,722.0,12.0,1.662049861495845,0.1900000000000049,39.98,59.83,2016-7,1962-6,0,57,36.0,36.0,3,1.0,0.0,1,1,0,0,39.0,南充,3.6635616461296463
南宁,广西壮族自治区,450100,南宁市,108.463381591,23.058742984299997,1,2020-02-05 00:00:00.000000000,2.8505000000000003,0.0,1.0,-10.0,0,34107409.0,False,True,332.81,5.2723,2.3412,757.0,6.6293632534374485,45056.022457067374,6.18,40.15,53.66,37.35,115.0,23412.0,960.0,75.0,7.8125,0.9600000000000009,40.44,58.6,2015-5,1962-1,0,58,39.0,43.0,4,2.0,1.0,0,0,1,0,55.0,南宁,4.007333185232471
南平,福建省,350700,南平市,118.14263055100001,27.340275495100002,0,,2.9163,0.0,0.0,,0,5263855.0,False,True,121.77,5.5009,0.5382,319.0,5.765191102784844,16501.112852664573,13.13,48.34,38.53,35.3,51.0,5382.0,1089.0,44.0,4.040404040404041,2.7600000000000047,37.19,60.05,2016-9,1964-3,0,55,35.0,33.0,3,2.0,1.0,0,0,0,1,20.0,南平,2.995732273553991
南昌,江西省,360100,南昌市,116.023990516,28.6636745134,1,2020-02-05 00:00:00.000000000,3.1887,1.0,1.0,-12.0,0,36408753.0,False,True,702.51,8.1598,1.4143,525.0,6.2633982625916245,69350.00571428571,1.71,50.04,48.25,32.02,118.0,14143.0,1473.0,140.0,9.504412763068569,0.2999999999999972,59.03,40.67,2016-11,1963-8,0,56,34.0,34.0,3,1.0,0.0,1,0,1,0,230.0,南昌,5.438079308923196
南通,江苏省,320600,南通市,120.994124874,32.1899448962,1,2020-02-04 00:00:00.000000000,2.9923,1.0,1.0,-11.0,0,28626300.0,False,True,727.08,9.2702,1.88,764.0,6.6385677891665225,37468.97905759162,2.14,45.61,52.25,39.66,222.0,18800.0,5131.0,1022.0,19.918144611186907,0.23000000000000045,81.89,17.88,2019-12,1963-4,0,56,32.0,38.0,0,1.0,0.0,1,0,1,0,40.0,南通,3.6888794541139363
南阳,河南省,411300,南阳市,112.28340493600001,33.046328015,0,,3.5264,1.0,1.0,,0,7557584.0,False,True,448.53,3.1010000000000004,1.7993,1200.0,7.090076835776093,6297.986666666668,6.7,33.79,59.51,55.64,108.0,17993.0,1969.0,37.0,1.8791264601320468,0.5399999999999991,41.35,58.11,2016-12,1961-9,0,58,35.0,37.0,3,2.0,1.0,1,0,1,0,156.0,南阳,5.049856007249537
厦门,福建省,350200,厦门市,118.11161853799999,24.68193311,0,,3.5579,0.0,0.0,,1,43517181.0,False,True,1241.91,9.7282,1.2705,231.0,5.442417710521793,188386.06493506493,0.54,41.64,57.82,35.3,51.0,12705.0,1894.0,687.0,36.272439281942965,0.10999999999999943,62.43,37.46,2019-2,1963-12,0,56,34.0,33.0,0,1.0,0.0,0,0,0,1,35.0,厦门,3.5553480614894135
双鸭山,黑龙江省,230500,双鸭山市,132.5160707,46.6490553159,0,,3.4012,1.0,1.0,,0,1213525.0,False,True,64.99,2.9959,0.1972,94.0,4.543294782270004,12909.840425531916,3.09,28.57,68.33,31.47,54.0,1972.0,144.0,5.0,3.4722222222222223,4.5800000000000125,29.79,65.63,2018-2,1963-10,0,56,31.0,33.0,1,1.0,0.0,1,0,1,0,52.0,双鸭山,3.9512437185814275
台州,浙江省,331000,台州市,121.09912211299999,28.7760915637,0,,3.5552,1.0,1.0,,0,16240361.0,False,True,634.36,6.4287,1.7235,604.0,6.403574197934816,26888.014900662245,3.19,44.27,52.53,66.3,111.0,17235.0,3760.0,152.0,4.042553191489361,0.049999999999993605,68.68,31.27,2019-12,1970-4,0,49,28.0,29.0,0,2.0,1.0,0,0,0,1,146.0,台州,4.983606621708336
合肥,安徽省,340100,合肥市,117.244417731,31.993576289299998,1,2020-02-05 00:00:00.000000000,3.6011,1.0,1.0,-12.0,0,48124819.0,False,True,627.35,8.0138,2.0964,743.0,6.610696044717759,64770.95423956931,0.31,47.33,52.35,36.14,172.0,20964.0,2257.0,172.0,7.620735489587949,0.07000000000000027,56.9,43.03,2016-11,1960-3,0,59,34.0,37.0,3,1.0,0.0,1,0,1,0,174.0,合肥,5.159055299214529
吉安,江西省,360800,吉安市,114.823455743,26.9733222152,1,2020-02-06 00:00:00.000000000,3.8954,1.0,1.0,-13.0,0,2531933.0,False,True,208.88,2.9772,0.8028,536.0,6.284134161070802,4723.755597014925,6.73,44.99,48.27,32.02,57.0,8028.0,1222.0,88.0,7.201309328968903,2.009999999999998,48.85,49.14,2016-9,1963-11,0,56,36.0,30.0,3,2.0,1.0,0,0,1,0,22.0,吉安,3.091042453358316
吉林,吉林省,220200,吉林市,126.84140012299999,43.580577812799994,0,,2.4125,0.0,1.0,,0,13344871.0,False,True,153.73,5.7818,1.2862,415.0,6.028278520230697,32156.3156626506,3.5,35.32,61.18,44.12,148.0,12862.0,1076.0,25.0,2.3234200743494418,2.5400000000000063,40.8,56.66,2018-2,1967-1,0,53,29.0,31.0,1,1.0,0.0,1,0,1,0,5.0,吉林,1.6094379124341003
吐鲁番,新疆维吾尔自治区,650400,吐鲁番市,89.84277451790001,42.3844459925,0,,3.5247,0.0,0.0,,0,854603.0,False,True,9.048571428571428,4.9279,0.0318,64.0,4.1588830833596715,13353.171875,24.07,24.09,51.84,73.45,22.0,1590.0,135.0,2.0,1.4814814814814816,0.7800000000000011,31.74,67.48,2017-4,1968-1,0,52,31.0,29.0,2,1.0,0.0,0,0,1,0,3.0,吐鲁番,1.0986122886681098
吕梁,山西省,141100,吕梁市,111.262063708,37.679325374499996,0,,2.8262,1.0,1.0,,0,813938.0,False,True,182.21,2.5896,0.7201,392.0,5.971261839790463,2076.372448979592,2.44,28.09,69.47,31.47,104.0,7201.0,451.0,14.0,3.1042128603104215,0.21000000000000085,42.8,56.99,2016-11,1962-8,0,57,35.0,37.0,3,1.0,0.0,1,0,1,0,6.0,吕梁,1.791759469228055
吴忠,宁夏回族自治区,640300,吴忠市,106.496413251,37.4371258006,1,2020-01-31 00:00:00.000000000,3.1561,0.0,1.0,-3.0,0,1895152.0,False,True,83.54,3.2039,0.2647,143.0,4.962844630259907,13252.811188811189,9.32,61.99,28.69,30.69,50.0,2647.0,357.0,4.0,1.1204481792717087,2.5000000000000067,34.63,62.87,2017-4,1963-10,0,56,32.0,32.0,2,2.0,1.0,0,0,1,0,28.0,吴忠,3.332204510175204
周口,河南省,411600,周口市,114.877448123,33.7249577197,0,,5.0722000000000005,1.0,1.0,,0,2360046.0,False,True,1040.05,2.5682,1.6413,1258.0,7.1372784372603855,1876.0302066772656,3.63,49.87,46.49,55.64,140.0,16413.0,1274.0,22.0,1.7268445839874411,0.17999999999999972,48.39,51.43,2017-2,1963-4,0,56,35.0,24.0,2,1.0,0.0,1,0,1,0,76.0,周口,4.330733340286331
呼伦贝尔,内蒙古自治区,150700,呼伦贝尔市,121.201101686,49.6618765199,1,2020-02-13 00:00:00.000000000,2.4319999999999995,0.0,1.0,-19.0,0,3047356.0,False,True,10.25,6.414,0.9623,260.0,5.5606816310155285,11720.6,2.89,46.24,50.87,35.79,219.0,9623.0,160.0,12.0,7.5,26.139999999999993,20.65,53.21,2018-3,1965-11,0,54,27.0,32.0,1,1.0,0.0,1,1,0,0,7.0,呼伦贝尔,1.9459101490553132
呼和浩特,内蒙古自治区,150100,呼和浩特市,111.39720019399999,40.5828391154,1,2020-02-13 00:00:00.000000000,3.9095,1.0,1.0,-16.0,0,21851700.0,False,True,139.07,10.3235,1.0225,243.0,5.493061443340548,89924.69135802469,1.05,24.81,74.14,35.79,108.0,10225.0,232.0,20.0,8.620689655172415,0.7800000000000011,25.91,73.31,2019-8,1964-6,1,55,27.0,34.0,0,1.0,0.0,0,0,0,1,7.0,呼和浩特,1.9459101490553132
咸宁,湖北省,421200,咸宁市,114.174701414,29.6260779783,1,2020-01-24 00:00:00.000000000,4.422899999999999,1.0,1.0,1.0,0,2830000.0,False,True,307.66,4.4027,0.6743,304.0,5.717027701406223,9309.210526315792,10.6,57.24,32.16,56.66,32.0,6743.0,880.0,26.0,2.9545454545454546,0.17999999999999972,38.64,61.18,2019-12,1966-6,0,53,29.0,30.0,0,1.0,0.0,0,0,0,1,868.0,咸宁,6.7661917146603505
咸阳,陕西省,610400,咸阳市,108.449310629,34.8279477852,0,,2.7983,1.0,1.0,,0,7049152.0,False,True,518.21,4.8016,1.082,468.0,6.148468295917647,15062.290598290598,0.95,71.34,27.71,43.47,151.0,10820.0,727.0,31.0,4.264099037138927,0.3999999999999986,49.65,49.95,2015-4,1961-11,0,58,34.0,37.0,4,2.0,1.0,0,0,0,1,17.0,咸阳,2.833213344056216
哈尔滨,黑龙江省,230100,哈尔滨市,127.962249395,45.6384010894,1,2020-02-04 00:00:00.000000000,3.6881,1.0,1.0,-11.0,1,47127585.0,False,True,180.98,6.3445,2.2,955.0,6.86171134048073,49348.25654450262,5.83,29.93,64.24,31.47,310.0,22000.0,1275.0,76.0,5.96078431372549,2.5600000000000023,30.49,66.95,2017-5,1962-12,0,57,35.0,32.0,2,2.0,1.0,1,0,1,0,198.0,哈尔滨,5.288267030694535
唐山,河北省,130200,唐山市,118.339163835,39.7369101931,1,2020-01-28 00:00:00.000000000,2.8016000000000005,1.0,1.0,0.0,0,32053543.0,False,True,560.42,8.1239,1.869,755.0,6.626717749249027,42455.0238410596,4.27,62.1,33.63,31.22,173.0,18690.0,1630.0,88.0,5.398773006134969,2.1700000000000017,42.58,55.25,2020-1,1963-4,0,56,35.0,35.0,0,1.0,0.0,0,0,1,0,58.0,唐山,4.060443010546419
商丘,河南省,411400,商丘市,115.697064821,34.2910762816,0,,3.998,0.0,0.0,,0,4793000.0,False,True,897.8,2.7332,1.4756,987.0,6.894670039433483,4856.129685916921,14.01,43.97,42.02,55.64,79.0,14756.0,1350.0,26.0,1.925925925925926,0.10999999999999943,46.88,53.01,2016-8,1965-2,0,54,35.0,27.0,3,2.0,1.0,1,0,1,0,91.0,商丘,4.51085950651685
