"绵阳市",V II&11̂ 3112,537,173,541,174,207,68
"广元市",〇113〇8又 1130,303,93,304,93,115,35
"遂宁市",811101112,370,149,374,151,140,55
"内江市",,415,140,417,141,156,51
"乐山市",1̂ 6811311,352,116,353,116,128,44
"南充市",1̂ 3110110118,733,194,737,195,266,68
"眉山市",\1〇1811311,345,120,348,121,129,50
"宜宾市",力6111,555,128,556,128,172,42
"广安市",011308^11,465,127,465,127,156,40
"达州市",0 &211011,672,178,674,179,242,68
"雅安市",丫3’30,154,62,154,62,58,23
"巴中市",83211011^,376,136,376,136,131,48
"资阳市",21^30^,349,108,349,108,129,43
"贵州省",〇111211011,,,,,,
"贵阳市",,408,251,405,248,128,79
"六盘水市",1̂ 叩犯1811111,342,48,341,48,105,14
"遵义市",21111̂ 1,805,221,804,211,245,75
"安顺市",八118111111,301,129,300,129,89,39
"毕节市",81^16,923,165,920,164,252,42
"铜仁市",丁00^1^0,440,49,440,49,134,16
"云南省",V II1111311,,,,,,
"昆明市",1̂101111112,563,312,561,311,203,120
"曲靖市",0 咖 8,661,119,657,96,208,39
"玉溪市",丫(8),219,73,218,73,79,29
"保山市",8 &081130,263,94,262,94,79,29
"昭通市",211301011^,619,93,614,92,188,28
"丽江市",,123,16,122,16,43,5
"普洱市",,253,23,252,23,83,8
"临沧市",1̂ 003112,239,33,238,32,84,11
"西藏自治区",111)61,,,,,,
"拉萨市",1^83,54,30,54,30,20,14
"日喀则市",X 細 26,79,12,82,12,18,3
"昌都市",,76,12,75,15,20,4
"林芝市",1̂ 02111,19,5,23,6,6,2
"山南市",81131111311,35,6,36,7,12,3
"那曲市",X 叫11,52,11,51,11,12,3
"陕西省",8113311X1,,,,,,
"西安市",X I'&11,906,771,894,760,285,248
"铜川市",,83,73,83,74,28,25
"宝鸡市",830^1,381,140,383,141,115,44
"咸阳市",X I&11̂ 1̂12,468,58,469,58,140,19
"渭南市",^0111&11,556,96,557,91,173,33
"延安市",心11'(10),238,68,237,68,87,25
"汉中市",9&112110112,382,113,383,113,138,41
"榆林市",丫1111〇,385,58,384,58,136,34
"安康市",,305,101,305,101,106,35
"商洛市",81131121110,253,56,253,57,85,19
"甘肃省",0^11811,,,,,,
"兰州市",1^0211011,326,207,325,206,110,74
"嘉峪关市",,21,,21,,8,
"金昌市",11110113112,46,21,47,23,17,8
"白银市",631^111,182,50,182,50,56,18
"天水市",丁130811111,371,132,371,132,100,38
"武威市",,190,104,190,104,60,33
"张掖市",211311^76,131,51,131,52,46,18
"平凉市",?10^11&11̂,234,52,234,52,73,18
"酒泉市",1111(11130,99,41,99,41,33,14
"庆阳市",咖取肪呂,270,39,270,39,83,12
"定西市",010^X1,303,47,303,47,87,15
"陇南市",1̂ 01121130,287,57,287,57,84,17
"青海省",^111^1121,,,,,,
"西宁市",,206,98,234,130,72,37
"海东市",931^0118,172,42,172,42,49,13
"宁夏回族自治区",1̂ 111̂ X13,,,,,,
"银川市",\̂111〇1111&0,189,116,186,114,70,43
"石嘴山市",81112111811311,74,43,75,43,29,17
"吴忠市",,143,42,143,42,50,15
"固原市",0〇711311,151,46,150,46,46,16
"中卫市",21100^61,122,41,115,41,40,15
"新疆维吾尔自治区",,,,,,,
"乌鲁木齐市",〇11冊中,223,217,245,239,83,81
"克拉玛依市",,31,31,31,31,12,12
"吐鲁番市",丁111̂ 311,64,29,64,29,20,8
"哈密市",3̂1111,56,43,56,43,20,15
